Source,Destination,Source port,Destination port,Version
192.168.1.5,34.120.158.37,64471.0,443.0,4
34.120.158.37,192.168.1.5,443.0,64471.0,4
34.120.158.37,192.168.1.5,443.0,64470.0,4
192.168.1.5,142.250.196.35,64969.0,443.0,4
142.250.196.35,192.168.1.5,443.0,64969.0,4
192.168.1.5,192.168.1.1,64970.0,53.0,4
192.168.1.5,192.168.1.1,64971.0,53.0,4
192.168.1.5,192.168.1.1,64972.0,53.0,4
192.168.1.5,192.168.1.1,64973.0,53.0,4
192.168.1.1,192.168.1.5,53.0,64970.0,4
192.168.1.1,192.168.1.5,53.0,64971.0,4
192.168.1.5,142.250.196.14,64974.0,443.0,4
192.168.1.5,142.250.196.14,64472.0,443.0,4
142.250.196.14,192.168.1.5,443.0,64472.0,4
192.168.1.1,192.168.1.5,53.0,64972.0,4
